stats_g/std,test/episode,stats_g/mean,epoch,test/success_rate,train/success_rate,train/episode,stats_o/mean,test/mean_Q,stats_o/std
0.24495898,480.0,0.3739777,23,0.041666666666666664,0.013333333333333336,2400.0,0.19787331,-24.628105,0.9010046
0.24456386,500.0,0.37419096,24,0.03333333333333333,0.0175,2500.0,0.19779618,-26.84641,0.90648913
0.24427538,520.0,0.3741056,25,0.07916666666666668,0.01,2600.0,0.1970597,-23.238043,0.91139525
0.24411301,540.0,0.3741621,26,0.025000000000000005,0.006666666666666667,2700.0,0.196469,-27.174911,0.9157229
0.24384768,560.0,0.37404123,27,0.07083333333333335,0.012500000000000002,2800.0,0.19636041,-26.16272,0.9197283
0.2435379,580.0,0.3740333,28,0.05416666666666667,0.018333333333333337,2900.0,0.19636466,-24.065832,0.9234479
0.24324225,600.0,0.3740749,29,0.04583333333333334,0.015833333333333335,3000.0,0.19652236,-25.875246,0.9266415
0.24314468,620.0,0.37368563,30,0.07083333333333333,0.013333333333333334,3100.0,0.19667836,-24.47548,0.92895335
0.24300666,640.0,0.37338516,31,0.041666666666666664,0.015833333333333335,3200.0,0.19681387,-24.715792,0.93171835
0.24282248,660.0,0.3732979,32,0.07083333333333335,0.019166666666666665,3300.0,0.19670783,-24.938078,0.9343845
0.24257426,680.0,0.37322977,33,0.07083333333333333,0.025833333333333337,3400.0,0.19637585,-22.725784,0.93706673
0.24240853,700.0,0.37309316,34,0.0625,0.014166666666666668,3500.0,0.19594659,-26.332422,0.9397688
0.24215348,720.0,0.37320724,35,0.07083333333333335,0.023333333333333334,3600.0,0.19569258,-21.38009,0.94235474
0.24201822,740.0,0.37351206,36,0.10000000000000002,0.022500000000000003,3700.0,0.195562,-24.15071,0.9446772
0.24186365,760.0,0.37358156,37,0.09166666666666667,0.02416666666666667,3800.0,0.19547813,-23.698206,0.9468685
0.24175571,780.0,0.37360176,38,0.075,0.020833333333333332,3900.0,0.1953804,-25.309784,0.94887495
0.24162214,800.0,0.37357572,39,0.08333333333333333,0.014166666666666668,4000.0,0.19534011,-25.888733,0.9507603
0.24156038,820.0,0.3734695,40,0.075,0.02666666666666667,4100.0,0.19524191,-23.890923,0.95265704
0.24137105,840.0,0.37365398,41,0.10833333333333334,0.023333333333333334,4200.0,0.1951863,-22.699999,0.95422214
0.24135184,860.0,0.37362477,42,0.06666666666666667,0.02416666666666667,4300.0,0.19530635,-25.402725,0.9557447
0.24130249,880.0,0.37351513,43,0.10416666666666667,0.02416666666666667,4400.0,0.19528739,-21.361061,0.95702964
0.24118026,900.0,0.37353197,44,0.09583333333333333,0.02,4500.0,0.19522692,-25.102808,0.95811725
0.24112765,920.0,0.37351656,45,0.13333333333333333,0.022500000000000003,4600.0,0.19517724,-21.6191,0.9592002
0.24102652,940.0,0.3734798,46,0.08333333333333333,0.023333333333333334,4700.0,0.19512014,-24.866785,0.96042746
0.2408442,960.0,0.37360218,47,0.125,0.021666666666666667,4800.0,0.19521971,-23.822906,0.9615431
0.24075551,980.0,0.37367418,48,0.13333333333333333,0.020833333333333332,4900.0,0.19527411,-21.392792,0.962645
0.2405972,1000.0,0.3737521,49,0.08333333333333333,0.035833333333333335,5000.0,0.19522834,-24.109938,0.9640092
