epoch,test/mean_Q,stats_o/std,stats_g/std,stats_g/mean,train/success_rate,test/success_rate,test/episode,stats_o/mean,train/episode
82,-18.088915,0.98566115,0.2381495,0.37876287,0.043,0.2,1660.0,0.1917347,8300.0
83,-19.712816,0.9864008,0.23812667,0.37879166,0.038,0.125,1680.0,0.19169775,8400.0
84,-18.421741,0.9871538,0.23804939,0.3788919,0.032999999999999995,0.10500000000000001,1700.0,0.19163862,8500.0
85,-18.189135,0.98783493,0.2380017,0.37895244,0.036,0.14,1720.0,0.19160041,8600.0
86,-18.490452,0.9884227,0.23795407,0.3789722,0.046,0.135,1740.0,0.19155005,8700.0
87,-16.917063,0.9889528,0.2378922,0.37899333,0.034999999999999996,0.13,1760.0,0.19150802,8800.0
88,-16.308346,0.9895245,0.23781867,0.37907904,0.033999999999999996,0.18,1780.0,0.1914508,8900.0
89,-18.882689,0.99003905,0.23775668,0.3790794,0.038,0.15,1800.0,0.19142774,9000.0
90,-18.80707,0.99062747,0.23770106,0.37909126,0.041,0.09000000000000001,1820.0,0.19141066,9100.0
91,-16.972462,0.9912486,0.23765555,0.37923923,0.042,0.19499999999999998,1840.0,0.19142058,9200.0
92,-14.802069,0.99189776,0.23761907,0.37934226,0.038,0.24499999999999997,1860.0,0.19138587,9300.0
93,-20.300093,0.992453,0.23759107,0.3793853,0.047,0.145,1880.0,0.19133213,9400.0
94,-15.533771,0.99298364,0.23755291,0.37949038,0.054000000000000006,0.225,1900.0,0.1912621,9500.0
95,-17.397831,0.9935177,0.23750754,0.379553,0.05500000000000001,0.185,1920.0,0.19121125,9600.0
96,-19.9828,0.9941128,0.2374733,0.37956753,0.044,0.14500000000000002,1940.0,0.19119315,9700.0
97,-18.136555,0.99466306,0.23749156,0.37957057,0.044,0.195,1960.0,0.19115266,9800.0
98,-15.143494,0.99506885,0.23746271,0.37962812,0.042,0.215,1980.0,0.19110543,9900.0
99,-18.026096,0.9954851,0.23742096,0.3796664,0.041,0.20999999999999996,2000.0,0.19105542,10000.0
100,-17.141266,0.99594194,0.23739247,0.37974936,0.039,0.21500000000000002,2020.0,0.19102073,10100.0
101,-19.245638,0.9963957,0.23740916,0.37981004,0.046,0.16499999999999998,2040.0,0.19093196,10200.0
102,-17.803162,0.9967779,0.23741905,0.3798601,0.042,0.195,2060.0,0.19084087,10300.0
103,-18.099796,0.99712485,0.2374166,0.37987432,0.044000000000000004,0.175,2080.0,0.19081636,10400.0
104,-17.450794,0.99759305,0.23739299,0.3798882,0.05,0.15499999999999997,2100.0,0.19078512,10500.0
105,-19.636793,0.9979666,0.2373487,0.379927,0.049,0.13999999999999999,2120.0,0.19074425,10600.0
106,-17.767597,0.9984039,0.23731346,0.37996334,0.047,0.16,2140.0,0.190676,10700.0
107,-15.350909,0.9988233,0.23728743,0.37999955,0.045,0.205,2160.0,0.19063276,10800.0
108,-17.978971,0.9992571,0.23726225,0.3800161,0.05,0.205,2180.0,0.190575,10900.0
109,-13.458682,0.9997017,0.2371796,0.3800725,0.049,0.21999999999999997,2200.0,0.19049123,11000.0
110,-17.373854,1.000115,0.23715806,0.38005978,0.05700000000000001,0.175,2220.0,0.1904056,11100.0
111,-15.552284,1.0005538,0.23714693,0.38010138,0.049,0.19499999999999998,2240.0,0.19031158,11200.0
112,-16.9342,1.0009216,0.23711148,0.38009462,0.05500000000000001,0.25,2260.0,0.19023976,11300.0
113,-13.89949,1.0013415,0.23705566,0.38015708,0.052000000000000005,0.22000000000000003,2280.0,0.19020915,11400.0
114,-14.293837,1.0016817,0.23700628,0.380212,0.054000000000000006,0.19499999999999998,2300.0,0.19019833,11500.0
115,-14.596067,1.0019596,0.23699503,0.38024718,0.049,0.27,2320.0,0.1901532,11600.0
116,-17.247868,1.0023108,0.23695974,0.38032848,0.049,0.2,2340.0,0.19011769,11700.0
117,-19.313437,1.0025902,0.23693404,0.38035053,0.06000000000000001,0.13999999999999999,2360.0,0.19011009,11800.0
118,-14.28248,1.0029156,0.2369138,0.380371,0.05700000000000001,0.275,2380.0,0.1900911,11900.0
119,-17.273388,1.0032113,0.23689814,0.38036188,0.06000000000000001,0.2,2400.0,0.19008395,12000.0
120,-15.560809,1.0035158,0.23687367,0.3803677,0.04,0.195,2420.0,0.19008079,12100.0
121,-15.895655,1.0038038,0.23683505,0.3803286,0.05600000000000001,0.21000000000000002,2440.0,0.19005233,12200.0
122,-16.461624,1.0041214,0.23678608,0.3803119,0.072,0.22000000000000003,2460.0,0.19002172,12300.0
123,-15.648422,1.004352,0.2367278,0.3803328,0.05700000000000001,0.215,2480.0,0.18998487,12400.0
124,-16.030909,1.0046638,0.23667622,0.3803595,0.046000000000000006,0.23500000000000001,2500.0,0.18995659,12500.0
125,-13.257544,1.0050149,0.23664145,0.38037091,0.059,0.285,2520.0,0.1899308,12600.0
126,-18.999096,1.0053486,0.23662086,0.38036737,0.052000000000000005,0.215,2540.0,0.18991858,12700.0
127,-13.701263,1.0056436,0.23659615,0.38039917,0.067,0.255,2560.0,0.18990868,12800.0
128,-13.216563,1.005963,0.2365547,0.38034004,0.06799999999999999,0.325,2580.0,0.18987851,12900.0
129,-13.914119,1.0062356,0.2365258,0.3803402,0.064,0.285,2600.0,0.1898377,13000.0
130,-16.611002,1.0066087,0.23645945,0.38035545,0.061,0.22000000000000003,2620.0,0.18979633,13100.0
131,-13.807042,1.0069174,0.23640175,0.38036364,0.05800000000000001,0.24500000000000002,2640.0,0.18976136,13200.0
132,-13.4065,1.0072874,0.23638535,0.38034853,0.044000000000000004,0.255,2660.0,0.18975003,13300.0
133,-13.907741,1.0076262,0.23633996,0.38037866,0.048,0.3,2680.0,0.18973482,13400.0
134,-14.807556,1.0078969,0.23629479,0.38041013,0.053000000000000005,0.22000000000000003,2700.0,0.18970832,13500.0
135,-13.323102,1.0081418,0.2362359,0.38040772,0.069,0.27999999999999997,2720.0,0.18968265,13600.0
136,-14.011839,1.0083296,0.23618937,0.38045686,0.044000000000000004,0.27999999999999997,2740.0,0.1897187,13700.0
